bidding,ESS,GEN,WIND_STR,SW,PS,Avg_MP,ϵ1,confirmedNE,solver,ESSᴰ,GENᴰ,WIND_STRᴰ
PC-MOPEC,169.61483340461692,775.9072309557648,318.0410530044958,14102.872499058982,1263.5631173648776,41.26025377996316,10.5,false,KNITRO,238.17835115822905,581.6038597778803,260.8999999999987
PC-MOPEC,152.6698453456479,792.8760010553019,318.0453871306255,14102.872498183597,1263.5912335315752,41.26074191728175,11.0,false,KNITRO,235.5789473684221,580.7183470218814,205.51304431791505
PC-MOPEC,171.8231529193429,773.7464917270629,318.04972551147074,14102.872499526598,1263.6193701578766,41.26123038687937,11.5,false,KNITRO,218.67269326165749,574.3366676936984,254.49999999999847
PC-MOPEC,153.95149480395938,791.6419428209522,318.0540625557466,14102.872500012054,1263.6475001806582,41.26171875287825,12.0,false,KNITRO,217.24860540817212,585.3812099987399,254.4999999999984
PC-MOPEC,188.66643837794572,756.9507820288852,318.0583967074703,14102.872499240424,1263.6756171143013,41.262206898355714,12.5,false,KNITRO,248.10524117201481,560.3755167189237,254.49999999999898
PC-MOPEC,129.61487751897567,740.5760383556511,334.06270692858226,14020.822486373356,1204.253622803209,43.76269315418581,13.0,false,KNITRO,247.14976578706458,635.9291889502813,232.2284945423785
PC-MOPEC,161.4993277021218,784.1654710260123,318.067068643633,14102.872499269608,1263.731867371767,41.26318346453776,13.5,false,KNITRO,240.3462284211413,580.6699648693977,232.22853185595503
PC-MOPEC,162.78806641874112,782.9004575886156,318.07138635549376,14102.872491175503,1263.7599103628504,41.263670360567275,14.0,false,KNITRO,218.12372432926355,580.169178692863,254.49999999999966
PC-MOPEC,171.27773459041543,774.4346307886485,318.0757374367274,14102.872497987064,1263.7881028157913,41.264159782863565,14.5,false,KNITRO,228.92959707123288,574.8775470409696,242.5
PC-MOPEC,134.79354885563805,810.9426231514825,318.08007816998156,14102.87249999987,1263.8162501771021,41.26464844043583,15.0,false,KNITRO,239.57234449424084,597.4991759589277,232.22853185595568
PC-MOPEC,165.81965509386114,779.9402467144944,318.0843991470986,14102.872493351677,1263.8443009554542,41.26513545841323,15.5,false,KNITRO,226.82921871941858,582.637965171906,254.49999999999892
PC-MOPEC,145.58368914470725,800.2000470831268,318.08874617883794,14102.872498427885,1263.8724824066721,41.26562470061047,16.0,false,KNITRO,252.52856606042604,589.7947662325413,232.22853185595497
PC-MOPEC,147.5618803842512,798.2456572784713,318.09308557709517,14102.872499857902,1263.9006232398178,41.266113250836554,16.5,false,KNITRO,229.83340076460212,586.4821427533541,232.2285318491642
PC-MOPEC,163.60000340755994,782.2313244179669,318.0974218266085,14102.87249998545,1263.9287496521354,41.26660155621224,17.0,false,KNITRO,208.8472775918953,584.6049376130252,254.4999999999983
PC-MOPEC,163.14355578155556,782.711555038145,318.10175602644756,14102.872499183035,1263.956866846148,41.26708970622601,17.5,false,KNITRO,248.5768623296232,580.3997375479606,242.5
PC-MOPEC,145.9684451885779,799.9104498331592,318.10609072867027,14102.872498714927,1263.9849857504073,41.267577884484616,18.0,false,KNITRO,211.77296522313026,578.7305175549864,254.49999999999375
PC-MOPEC,188.7487199623555,757.1539745005978,318.1104295164182,14102.872499935416,1264.0131239793714,41.268066388123444,18.5,false,KNITRO,234.0135281558404,560.3749894438745,254.49999999999847
PC-MOPEC,155.77121802842083,790.1552664096645,318.1147656658393,14102.872500007888,1264.0412501039245,41.26855468903169,19.0,false,KNITRO,226.59053827630203,565.3420705474981,244.22853185591327
PC-MOPEC,179.2017331516289,766.7485403860567,318.1191015838549,14102.872500005871,1264.0693751215404,41.269042970895704,19.5,false,KNITRO,235.5789473684212,563.9465604292851,225.84999999999883
PC-MOPEC,163.41222072906874,782.5618417885637,318.1234375254146,14102.872499996636,1264.0975000430471,41.26953125056088,20.0,false,KNITRO,213.8299594289233,579.2891633537024,254.49999999999847
PC-MOPEC,201.04112280117096,694.5690555436455,274.63888721799844,13986.972500013238,1170.2490655628148,43.760009818529014,20.5,false,KNITRO,233.1460283099847,550.3374682275665,217.30706371184547
PC-MOPEC,169.89871632471045,775.6233539351679,318.04105469675886,14102.872499995441,1263.5631249566372,41.26025390532497,21.0,false,KNITRO,254.83075105980078,560.4647543100323,232.22853252174946
PC-MOPEC,163.48201115928748,782.0638491079677,318.0453908205039,14102.872500011832,1263.591251087759,41.26074220614616,22.0,false,KNITRO,217.57193959750765,608.839569211215,254.49999999999892
PC-MOPEC,177.96623606594315,767.5915180712102,318.0475586657825,14102.872500013564,1263.6053128029357,41.26098633321009,22.5,false,KNITRO,204.8682115063633,589.2006925227431,254.49999999999847
PC-MOPEC,180.87875077445796,764.6908968960855,318.0497263688013,14102.872499906673,1263.6193740393446,41.26123045226629,23.0,false,KNITRO,229.63683994319445,563.2843170940243,254.4999999999988
PC-MOPEC,161.31401618699456,784.2675240518674,318.0518937820642,14102.872500335463,1263.6334340209262,41.26147455493116,23.5,false,KNITRO,241.9194869272206,579.4255786706228,226.490338721573
PC-MOPEC,-2.424788247355296e-7,841.7802175720683,290.1787081353726,13970.599999352165,1131.958925464962,41.27575543999624,24.0,false,KNITRO,235.57894736841547,595.2500000340052,232.2285319609187
PC-MOPEC,155.15458784854192,790.450743581451,318.05623032592246,14102.87249993076,1263.6615617559155,41.261962877863965,24.5,false,KNITRO,251.88972583184733,571.9848465547548,232.22853185595568
PC-MOPEC,191.65859458105018,753.9705263205442,318.0605663703003,14102.872499967845,1263.6896872718949,41.26245116791251,25.5,false,KNITRO,240.77664080860274,553.003925262484,230.9286036999921
PC-MOPEC,181.91988916770862,763.7211210478449,318.06273285773227,14102.872499314946,1263.7037430732858,41.26269519539432,26.0,false,KNITRO,251.08052751910435,518.6515897604908,254.4999999999988
PC-MOPEC,183.7814836822523,761.8714494371025,318.06490572645606,14102.872498925437,1263.7178388458108,41.262939916610534,26.5,false,KNITRO,251.4983537444166,562.2064334554544,225.84999990258035
PC-MOPEC,174.34855524033466,771.3162495917769,318.06707037327595,14102.87250001317,1263.7318752053875,41.26318359705932,27.0,false,KNITRO,204.12649295658042,574.2365248089175,254.49999999999847
